Index	Max_Values
Plk1	0.007005104
Ube2c	0.006859539
Nusap1	0.0045572547
Ckap2l	0.004316494
Fbxo5	0.0039291494
Aurka	0.003907078
Sgo2a	0.0036402007
Tpx2	0.0036125665
Incenp	0.0036090256
Rab24	0.00330777
Cenpf	0.003307
Shmt1	0.0032981234
Ppp1r18	0.0032762832
Ccnb1	0.0032125572
1110002L01Rik	0.0031722328
Tuba1c	0.0031701683
R3hdm2	0.0031438833
Hnf1a	0.0031292532
Cenpe	0.0031213958
Ccdc117	0.0031107566
0610009B22Rik	0.0030604468
E2f2	0.0030436618
Snap29	0.0030255055
Azin1	0.0029949849
Hmmr	0.0029908633
Secisbp2	0.0029898917
Ect2	0.0029783673
Zfp367	0.002897575
Agfg2	0.0028951354
Sertad2	0.0028947967
Zfp143	0.0028926649
Faap24	0.002892523
Cdca5	0.0028747933
Asf1b	0.0028590981
Cdk1	0.0028085955
Zfyve1	0.0027227749
Mycn	0.0026850014
Scaper	0.002675614
Kif4	0.0026483044
Utp4	0.0026237296
Gde1	0.002618717
Sdc1	0.0026159314
Emc3	0.002601289
Arl6ip1	0.0025823398
Fam120a	0.002578737
Pip5k1a	0.0025621506
2310011J03Rik	0.0025578137
D16Ertd472e	0.0025561063
Smc4	0.0025402787
Kif2c	0.0025210436
Wdfy3	0.0025044933
Ncam1	0.0024948758
Wdr76	0.0024396703
Cdc20	0.0024317938
Rbfa	0.002417838
Fzr1	0.00240977
Prc1	0.002395811
D6Wsu163e	0.0023912254
Pcf11	0.002390782
Yy1	0.0023843609
Zfp704	0.0023709664
Fer	0.0023657605
Cep290	0.002361725
Chd1l	0.00236074
Jpt1	0.0023473292
Kif3b	0.002319783
Bub1b	0.002314812
Fam117a	0.0023112367
Psmc5	0.0023018622
Asap1	0.0022904717
Nrf1	0.0022814272
Pnkp	0.0022769151
Cenpu	0.0022634077
Cdc27	0.0022619683
Gins2	0.0022506348
Cdkn1b	0.0022406694
Ckap2	0.0022150239
Gm11457	0.0021982803
Grik3	0.0021928651
Atg14	0.0021837228
Slc28a1	0.0021690095
Fam53a	0.002165011
Pcif1	0.0021395707
Ccdc18	0.0021276046
Ptpmt1	0.0021275782
Calm2	0.0021207365
Bub1	0.0021196217
Mta2	0.0020924485
Ormdl3	0.002088151
Ccdc71	0.0020865053
C330027C09Rik	0.0020860655
Hs1bp3	0.0020851109
Tyms	0.0020840475
Adh5	0.0020753164
Chaf1b	0.0020664285
Wbp2	0.002062428
Zufsp	0.0020615722
Clstn3	0.0020590047
Tomm20	0.0020524154
Cenpa	0.0020424481
